state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
Washington,NaN,Master,,0.0,1000.0,0.0,Personal Auto,Four-Door Car,2.704934
Arizona,F,Bachelor,697953.0,0.0,94.0,0.0,Personal Auto,Four-Door Car,1131.464935
Nevada,F,Bachelor,1288743.0,48767.0,108.0,0.0,Personal Auto,Two-Door Car,566.472247
California,M,Bachelor,764586.0,0.0,106.0,0.0,Corporate Auto,SUV,529.881344
Washington,M,High School or Below,536307.0,36357.0,68.0,0.0,Personal Auto,Four-Door Car,17.269323
Oregon,F,Bachelor,825629.0,62902.0,69.0,0.0,Personal Auto,Two-Door Car,159.383042
Oregon,F,College,538089.0,55350.0,67.0,0.0,Corporate Auto,Four-Door Car,321.6
Arizona,M,Master,721610.0,0.0,101.0,0.0,Corporate Auto,Four-Door Car,363.02968
Oregon,M,Bachelor,2412750.0,14072.0,71.0,0.0,Corporate Auto,Four-Door Car,511.2
Oregon,F,College,738817.0,28812.0,93.0,0.0,Special Auto,Four-Door Car,425.527834
California,M,College,473899.0,0.0,67.0,0.0,Personal Auto,Four-Door Car,482.4
California,NaN,College,819719.0,0.0,110.0,0.0,Personal Auto,SUV,528.0
California,NaN,Master,879879.0,77026.0,110.0,2.0,Corporate Auto,Four-Door Car,472.029737
Arizona,NaN,High School or Below,881901.0,99845.0,110.0,1.0,Corporate Auto,SUV,528.0
California,NaN,College,538443.0,83689.0,70.0,2.0,Corporate Auto,Four-Door Car,307.139132
Oregon,NaN,Bachelor,746313.0,24599.0,64.0,1.0,Corporate Auto,Four-Door Car,42.920271
Nevada,NaN,High School or Below,256686.0,25049.0,67.0,0.0,Personal Auto,Two-Door Car,454.245098
Cali,NaN,College,394524.0,28855.0,101.0,0.0,Personal Auto,SUV,647.442031
Oregon,NaN,College,571033.0,51148.0,72.0,0.0,Personal Auto,Four-Door Car,308.981664
California,NaN,High School or Below,816261.0,66140.0,101.0,0.0,Corporate Auto,Four-Door Car,484.8
Oregon,NaN,High School or Below,287205.0,57749.0,74.0,0.0,Personal Auto,Two-Door Car,355.2
Washington,M,Bachelors,617710.0,61040.0,79.0,1.0,Personal Auto,Two-Door Car,20.382876
Arizona,NaN,Bachelor,2412750.0,14072.0,71.0,0.0,Personal Auto,Four-Door Car,511.2
Nevada,NaN,Bachelor,245019.0,0.0,73.0,3.0,Corporate Auto,Four-Door Car,554.376763
California,NaN,Bachelor,239210.0,17870.0,61.0,0.0,Corporate Auto,Four-Door Car,439.2
Oregon,NaN,College,580206.0,97541.0,72.0,0.0,Personal Auto,Four-Door Car,389.185006
California,NaN,Bachelor,394637.0,0.0,111.0,0.0,Personal Auto,Four-Door Car,799.2
Washington,M,College,916206.0,29723.0,80.0,0.0,Personal Auto,Four-Door Car,20.985105
AZ,NaN,College,1290256.0,86584.0,111.0,2.0,Personal Auto,Four-Door Car,532.8
Oregon,NaN,Master,323536.0,75690.0,80.0,1.0,Personal Auto,Four-Door Car,384.0
Arizona,NaN,College,245458.0,23158.0,63.0,1.0,Personal Auto,Four-Door Car,322.294043
Nevada,NaN,High School or Below,1897545.0,65999.0,237.0,0.0,Corporate Auto,Luxury SUV,615.927769
California,NaN,Bachelor,471532.0,0.0,65.0,0.0,Personal Auto,Four-Door Car,308.15089
Washington,F,College,473787.0,0.0,130.0,0.0,Personal Auto,SUV,23.820158
Oregon,NaN,Bachelor,493291.0,37260.0,62.0,0.0,Corporate Auto,Four-Door Car,15.437681
Arizona,NaN,High School or Below,574422.0,68987.0,71.0,0.0,Personal Auto,Four-Door Car,204.475147
California,NaN,Bachelor,1389173.0,42305.0,117.0,0.0,Personal Auto,Four-Door Car,561.6
Oregon,NaN,Master,738097.0,65706.0,91.0,0.0,Personal Auto,Four-Door Car,436.8
Oregon,NaN,Bachelor,309003.0,0.0,90.0,0.0,Personal Auto,Two-Door Car,648.0
Arizona,NaN,High School or Below,252163.0,53243.0,66.0,2.0,Personal Auto,Four-Door Car,157.397849
Nevada,NaN,High School or Below,265206.0,0.0,70.0,1.0,Corporate Auto,Two-Door Car,484.318536
Oregon,NaN,College,277104.0,50071.0,71.0,0.0,Corporate Auto,Two-Door Car,18.918935
California,NaN,Bachelor,393900.0,60021.0,99.0,0.0,Personal Auto,Four-Door Car,882.871945
Arizona,NaN,High School or Below,1223187.0,43244.0,103.0,0.0,Personal Auto,Sports Car,494.4
Washington,M,Doctor,495165.0,46896.0,35354.0,1.0,Personal Auto,Four-Door Car,31.707317
Oregon,NaN,Doctor,1281910.0,10105.0,172.0,3.0,Personal Auto,SUV,0.517753
Arizona,NaN,Bachelor,446851.0,0.0,73.0,3.0,Personal Auto,Four-Door Car,579.165954
Oregon,NaN,High School or Below,551434.0,23218.0,71.0,0.0,Personal Auto,Two-Door Car,447.79344
California,NaN,Bachelor,334387.0,0.0,92.0,0.0,Corporate Auto,Four-Door Car,529.624084
Arizona,NaN,High School or Below,229447.0,0.0,62.0,0.0,Personal Auto,Four-Door Car,313.023175
Oregon,NaN,College,3670742.0,24804.0,104.0,0.0,Personal Auto,SUV,593.830288
California,NaN,Bachelor,3347334.0,33190.0,106.0,0.0,Corporate Auto,SUV,508.8
Nevada,NaN,High School or Below,798343.0,36014.0,69.0,3.0,Special Auto,Four-Door Car,173.956072
Washington,F,Master,487938.0,67163.0,61.0,2.0,Personal Auto,Two-Door Car,33.192803
