zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
East,,Master,182195.88762322016,0.0,1000.0,0.0,Personal Auto,Four-Door Car,2.704934
Central,F,Bachelor,697953.0,0.0,94.0,0.0,Personal Auto,Four-Door Car,1131.464935
Central,F,Bachelor,1288743.0,48767.0,108.0,0.0,Personal Auto,Two-Door Car,566.472247
West,M,Bachelor,764586.0,0.0,106.0,0.0,Corporate Auto,SUV,529.881344
East,M,High School or Below,536307.0,36357.0,68.0,0.0,Personal Auto,Four-Door Car,17.269323
North West,F,Bachelor,825629.0,62902.0,69.0,0.0,Personal Auto,Two-Door Car,159.383042
North West,F,College,538089.0,55350.0,67.0,0.0,Corporate Auto,Four-Door Car,321.6
Central,M,Master,721610.0,0.0,101.0,0.0,Corporate Auto,Four-Door Car,363.02968
North West,M,Bachelor,2412750.0,14072.0,71.0,0.0,Corporate Auto,Four-Door Car,511.2
North West,F,College,738817.0,28812.0,93.0,0.0,Special Auto,Four-Door Car,425.527834
West,M,College,473899.0,0.0,67.0,0.0,Personal Auto,Four-Door Car,482.4
West,,College,819719.0,0.0,110.0,0.0,Personal Auto,SUV,528.0
West,,Master,879879.0,77026.0,110.0,2.0,Corporate Auto,Four-Door Car,472.029737
Central,,High School or Below,881901.0,99845.0,110.0,1.0,Corporate Auto,SUV,528.0
West,,College,538443.0,83689.0,70.0,2.0,Corporate Auto,Four-Door Car,307.139132
North West,,Bachelor,746313.0,24599.0,64.0,1.0,Corporate Auto,Four-Door Car,42.920271
Central,,High School or Below,256686.0,25049.0,67.0,0.0,Personal Auto,Two-Door Car,454.245098
West,,College,394524.0,28855.0,101.0,0.0,Personal Auto,SUV,647.442031
North West,,College,571033.0,51148.0,72.0,0.0,Personal Auto,Four-Door Car,308.981664
West,,High School or Below,816261.0,66140.0,101.0,0.0,Corporate Auto,Four-Door Car,484.8
North West,,High School or Below,287205.0,57749.0,74.0,0.0,Personal Auto,Two-Door Car,355.2
East,M,Bachelors,617710.0,61040.0,79.0,1.0,Personal Auto,Two-Door Car,20.382876
Central,,Bachelor,2412750.0,14072.0,71.0,0.0,Personal Auto,Four-Door Car,511.2
Central,,Bachelor,245019.0,0.0,73.0,3.0,Corporate Auto,Four-Door Car,554.376763
West,,Bachelor,239210.0,17870.0,61.0,0.0,Corporate Auto,Four-Door Car,439.2
North West,,College,580206.0,97541.0,72.0,0.0,Personal Auto,Four-Door Car,389.185006
West,,Bachelor,394637.0,0.0,111.0,0.0,Personal Auto,Four-Door Car,799.2
East,M,College,916206.0,29723.0,80.0,0.0,Personal Auto,Four-Door Car,20.985105
Central,,College,1290256.0,86584.0,111.0,2.0,Personal Auto,Four-Door Car,532.8
North West,,Master,323536.0,75690.0,80.0,1.0,Personal Auto,Four-Door Car,384.0
Central,,College,245458.0,23158.0,63.0,1.0,Personal Auto,Four-Door Car,322.294043
Central,,High School or Below,1897545.0,65999.0,237.0,0.0,Corporate Auto,Luxury Vehicle,615.927769
West,,Bachelor,471532.0,0.0,65.0,0.0,Personal Auto,Four-Door Car,308.15089
East,F,College,473787.0,0.0,130.0,0.0,Personal Auto,SUV,23.820158
North West,,Bachelor,493291.0,37260.0,62.0,0.0,Corporate Auto,Four-Door Car,15.437681
Central,,High School or Below,574422.0,68987.0,71.0,0.0,Personal Auto,Four-Door Car,204.475147
